"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-1-27","13,352.78","13,710.99","13,765.91","13,322.66","1.07B","-1.40%"
"2022-1-26","13,542.12","13,871.77","14,002.65","13,392.19","1.18B","0.02%"
"2022-1-25","13,539.29","13,610.87","13,781.62","13,414.14","1.04B","-2.28%"
"2022-1-24","13,855.13","13,481.50","13,876.61","13,094.65","1.55B","0.63%"
"2022-1-21","13,768.92","14,046.22","14,171.72","13,764.24","1.32B","-2.72%"
"2022-1-20","14,154.02","14,462.85","14,642.03","14,140.78","1.02B","-1.30%"
"2022-1-19","14,340.25","14,582.22","14,658.89","14,331.65","935.06M","-1.15%"
"2022-1-18","14,506.90","14,681.83","14,740.54","14,482.94","1.06B","-2.60%"
"2022-1-14","14,893.75","14,708.02","14,897.67","14,689.43","872.56M","0.59%"
"2022-1-13","14,806.81","15,245.04","15,259.71","14,782.24","852.15M","-2.51%"
"2022-1-12","15,188.39","15,263.10","15,319.03","15,117.29","840.02M","0.23%"
"2022-1-11","15,153.45","14,919.26","15,158.71","14,837.63","863.02M","1.41%"
"2022-1-10","14,942.83","14,751.78","14,953.86","14,530.23","1.09B","0.05%"
"2022-1-7","14,935.90","15,095.72","15,171.02","14,877.63","852.53M","-0.96%"
"2022-1-6","15,080.87","15,024.15","15,198.45","14,914.87","951.12M","-0.13%"
"2022-1-5","15,100.17","15,547.16","15,586.30","15,095.18","1.01B","-3.34%"
"2022-1-4","15,622.72","15,852.14","15,852.14","15,512.41","970.70M","-1.33%"
"2022-1-3","15,832.80","15,732.50","15,832.80","15,644.09","871.65M","1.20%"
"2021-12-31","15,644.97","15,722.91","15,777.43","15,643.93","729.41M","-0.61%"
"2021-12-30","15,741.56","15,758.98","15,868.09","15,729.16","768.18M","-0.16%"
"2021-12-29","15,766.22","15,794.92","15,821.81","15,679.85","699.59M","-0.10%"
"2021-12-28","15,781.72","15,895.20","15,901.47","15,757.07","691.47M","-0.56%"
"2021-12-27","15,871.26","15,696.83","15,871.40","15,696.83","741.10M","1.39%"
